,Date,Load,System Generation
338,2016-02-29,176056.5918523,177758.2942872
339,2016-03-01,171356.7124953,174299.6164342
340,2016-03-02,171535.6873956,173434.276068
341,2016-03-03,173426.6015343,176244.5797726
342,2016-03-04,171972.1391496,173863.6384243
343,2016-03-05,163377.1200205,166095.8449035
344,2016-03-06,164306.6892547,162800.5335123
345,2016-03-07,171332.6902542,173193.5239238
346,2016-03-08,172300.2734619,174418.5608457
347,2016-03-09,168811.6996606,171866.6332467
348,2016-03-10,169705.9713432,170659.1118532
349,2016-03-11,166577.43846,167863.1693131
350,2016-03-12,158383.021438,159010.7654419
351,2016-03-13,160354.4823927,160202.6007312
352,2016-03-14,168906.9676762,170848.3246813
353,2016-03-15,166936.9249322,169161.83087
354,2016-03-16,168555.283812,171158.6686979
355,2016-03-17,169258.2349269,172167.0263856
356,2016-03-18,166943.5030999,168760.5275443
357,2016-03-19,160665.0484043,163265.7403575
358,2016-03-20,157224.5959878,159019.2692261
359,2016-03-21,168005.0839453,169959.8837986
360,2016-03-22,167837.9058763,169734.6290811
361,2016-03-23,167122.776307,167922.201349
362,2016-03-24,168076.580093,169114.9660474
363,2016-03-25,157477.2984796,159964.7643893
364,2016-03-26,154751.7326876,156637.1008922
365,2016-03-27,154529.1790956,154328.1210024
366,2016-03-28,163126.4906401,166169.5497153
367,2016-03-29,161616.9876412,164246.9812423
368,2016-03-30,162973.2821785,166302.1175775
369,2016-03-31,162023.6895678,164704.6854497
370,2016-04-01,157795.1998134,160857.7583603
371,2016-04-02,151125.059459,152003.3558207
372,2016-04-03,148976.3626826,150712.3690086
373,2016-04-04,157332.0671419,159429.9830564
374,2016-04-05,156663.3122241,157146.692214
375,2016-04-06,156550.5226459,157469.5445039
376,2016-04-07,155648.9150781,155591.8251981
377,2016-04-08,156105.9870949,158806.7420806
378,2016-04-09,149838.9639479,151470.5815995
379,2016-04-10,150219.7232991,152599.723076
380,2016-04-11,155688.2748773,157458.1126114
381,2016-04-12,155583.1332724,157379.4995622
382,2016-04-13,156467.5495482,158525.35249320001
383,2016-04-14,156531.4058818,159580.3063845
384,2016-04-15,153547.8464898,155876.0874933
385,2016-04-16,147201.1205389,150382.0575185
386,2016-04-17,147648.5894972,150245.2124345
387,2016-04-18,157442.9493428,160917.2463183
388,2016-04-19,158592.3502307,163333.3185555
389,2016-04-20,157792.2494357,162896.47337
390,2016-04-21,159085.0413823,162635.4592417
391,2016-04-22,156289.4395049,156395.0231346
392,2016-04-23,153255.316924,143742.4100112
393,2016-04-24,153403.1701233,143907.4948231
394,2016-04-25,161016.0281364,161664.3905697
395,2016-04-26,158281.5785509,159340.8420895
396,2016-04-27,157552.13034519998,160643.2864313
397,2016-04-28,157677.45100190002,161429.7206422
398,2016-04-29,156151.2835365,158420.6383562
399,2016-04-30,150611.0877381,154458.2205624
400,2016-05-01,149432.4652932,152679.0878823
401,2016-05-02,161739.0586524,166404.6305678
402,2016-05-03,163973.8085378,166691.2669258
403,2016-05-04,161093.1859667,164147.5015802
404,2016-05-05,153899.7401178,157483.0782899
405,2016-05-06,151079.8631322,153351.6970952
406,2016-05-07,147581.6358555,150428.0908916
407,2016-05-08,141850.6957059,135397.7233524
408,2016-05-09,149896.783956,149116.1942292
409,2016-05-10,147483.9416441,148097.0033371
410,2016-05-11,147621.9574404,149839.8881059
411,2016-05-12,148656.9877967,148438.1838917
412,2016-05-13,149395.6844729,150517.5532595
413,2016-05-14,141808.2629263,140025.5625086
414,2016-05-15,144603.4093887,142264.8494075
415,2016-05-16,156351.142865,151060.739051
416,2016-05-17,155713.6908701,151422.7049711
417,2016-05-18,157500.9649144,152657.2770977
418,2016-05-19,157135.5789213,154675.099267
419,2016-05-20,152818.5691352,150540.0372789
420,2016-05-21,145012.377759,145243.4425299
421,2016-05-22,144382.6006983,144701.8110173
422,2016-05-23,144403.4265455,147248.2602937
423,2016-05-24,152069.1668052,155595.56701980002
424,2016-05-25,155779.3696642,159081.28633
425,2016-05-26,155664.4224662,156091.8254431
426,2016-05-27,153147.5309689,154473.5671425
427,2016-05-28,145323.0965966,148102.1216574
428,2016-05-29,146325.4149737,148956.3106472
429,2016-05-30,154906.7286706,157518.9294272
430,2016-05-31,154476.3282879,157781.3335012
431,2016-06-01,157272.4333627,160070.6167806
432,2016-06-02,158224.8271912,159933.64232030002
433,2016-06-03,156997.9866004,158852.2067667
434,2016-06-04,151759.073616,155162.8743505
435,2016-06-05,151358.5356453,153960.2664311
436,2016-06-06,163880.9989273,167876.3429234
437,2016-06-07,167910.9060077,169552.9604826
438,2016-06-08,163968.6396298,167883.1715709
439,2016-06-09,160955.6046609,166551.1233454
440,2016-06-10,154827.0574221,159730.5448756
441,2016-06-11,145908.2346753,148535.1047077
442,2016-06-12,146600.3060383,148880.9939896
443,2016-06-13,157984.1466465,156887.5417173
444,2016-06-14,156409.1159911,155980.8780839
445,2016-06-15,153026.0203083,156289.3455841
446,2016-06-16,154840.0898951,157749.6092913
447,2016-06-17,156427.099808,159696.5166778
448,2016-06-18,149616.7769355,152893.9240248
449,2016-06-19,149376.2250487,153632.8756104
450,2016-06-20,165739.961962,173063.2312813
451,2016-06-21,164225.912011,169628.81638129998
452,2016-06-22,165453.9738363,170233.2092307
453,2016-06-23,165566.5684638,169837.3649479
454,2016-06-24,161727.2979889,164459.8985987
455,2016-06-25,152859.5966323,156024.3021603
456,2016-06-26,153512.4944118,158172.2029996
457,2016-06-27,166996.256308,173213.8507457
458,2016-06-28,168720.6532073,174258.8931928
459,2016-06-29,170684.6314345,173940.5373512
460,2016-06-30,167409.3875969,171056.0079244
461,2016-07-01,157708.5429082,160837.6956506
462,2016-07-02,157580.9888905,160591.5717278
463,2016-07-03,156413.1846677,160569.7402884
464,2016-07-04,163728.6061275,164751.5835215
465,2016-07-05,163985.5216118,166911.4680354
466,2016-07-06,163354.2107961,166427.758202
467,2016-07-07,163779.4408093,167220.8629335
468,2016-07-08,164096.1096959,167887.6136398
469,2016-07-09,156723.7885034,160459.7356515
470,2016-07-10,154892.0591437,158814.5921328
471,2016-07-11,164078.6226831,167668.9805775
472,2016-07-12,164658.9549624,167956.6276205
473,2016-07-13,165395.9840013,168607.2657769
474,2016-07-14,165445.4605461,168161.07532910001
475,2016-07-15,163347.2829924,166822.7007744
476,2016-07-16,156113.4436307,160108.0241826
477,2016-07-17,152854.1095829,156589.6765093
478,2016-07-18,164573.7693242,168864.0505308
479,2016-07-19,166500.8645315,169951.4121978
480,2016-07-20,166362.8472368,176389.5770577
481,2016-07-21,166046.5765036,177995.1850279
482,2016-07-22,166578.7112937,174404.9877433
483,2016-07-23,158898.5452842,169172.1204253
484,2016-07-24,160683.153564,176155.3793915
485,2016-07-25,170865.0663863,182207.4728372
